"event.id","visible","timestamp","location.long","location.lat","manually.marked.outlier","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone"
1730533,"true","2009-07-15 00:22:49.000",-99.68456,29.43478,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433604.015955012,3256352.00758159,"14N"
1730534,"true","2009-07-15 00:24:49.000",-99.66267,29.43268,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",435725.87092232,3256107.05477963,"14N"
1730535,"true","2009-07-15 00:26:39.000",-99.69567,29.44165,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432530.964188947,3257119.60262141,"14N"
1730536,"true","2009-07-15 00:29:23.000",-99.70248,29.45844,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",431881.699429901,3258983.95004557,"14N"
1730537,"true","2009-07-15 00:30:14.000",-99.70815,29.47455,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",431342.727943494,3260772.32425462,"14N"
1730538,"true","2009-07-15 00:31:31.000",-99.73332,29.48962,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",428912.871414915,3262457.24793767,"14N"
1730539,"true","2009-07-15 00:35:07.000",-99.74741,29.50765,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",427559.797703525,3264463.74368956,"14N"
1730540,"true","2009-07-15 00:36:42.000",-99.75009,29.51506,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",427305.335243781,3265286.47956319,"14N"
1730541,"true","2009-07-15 00:38:53.000",-99.75647,29.53126,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",426698.680954511,3267085.52756624,"14N"
1730542,"true","2009-07-15 00:42:49.000",-99.76638,29.55292,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",425754.210258411,3269491.86651454,"14N"
1730543,"true","2009-07-15 00:43:48.000",-99.77827,29.54472,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",424596.200828309,3268590.91778905,"14N"
1730544,"true","2009-07-15 00:44:52.000",-99.77853,29.5605,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",424582.728608012,3270339.60351457,"14N"
1730545,"true","2009-07-15 00:46:33.000",-99.79535,29.5519,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",422946.772990215,3269397.7119284,"14N"
1730546,"true","2009-07-15 00:49:35.000",-99.79008,29.5724,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423472.800369899,3271665.75485111,"14N"
1730547,"true","2009-07-15 00:50:54.000",-99.78892,29.57075,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423583.919254531,3271482.16022904,"14N"
1730548,"true","2009-07-15 00:54:11.000",-99.78493,29.57221,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423971.503528121,3271641.31764281,"14N"
1730549,"true","2009-07-15 00:57:49.000",-99.79388,29.58424,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423113.693523852,3272980.21520939,"14N"
1730550,"true","2009-07-15 00:59:25.000",-99.80436,29.59388,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",422106.089229989,3274055.38280593,"14N"
1730551,"true","2009-07-15 01:00:29.000",-99.8062,29.61586,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",421944.829388251,3276492.16039799,"14N"
1730552,"true","2009-07-15 01:05:42.000",-99.79202,29.62307,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423323.221463578,3277281.61665521,"14N"
1730553,"true","2009-07-15 01:09:28.000",-99.79401,29.63982,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423143.277641751,3279138.95867218,"14N"
1730554,"true","2009-07-15 01:10:07.000",-99.79244,29.65096,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423303.69697213,3280372.31477169,"14N"
1730555,"true","2009-07-15 01:11:27.000",-99.79399,29.6495,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423152.566146444,3280211.5630816,"14N"
1730556,"true","2009-07-15 01:14:45.000",-99.79084,29.66319,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423467.814110185,3281726.4352238,"14N"
1730557,"true","2009-07-15 01:16:21.000",-99.79072,29.66893,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423483.77205324,3282362.39334194,"14N"
1730558,"true","2009-07-15 01:18:27.000",-99.78939,29.67281,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",423615.409779102,3282791.44977408,"14N"
1730559,"true","2009-07-15 01:23:59.000",-99.78168,29.69978,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",424381.678155182,3285774.88088984,"14N"
1730560,"true","2009-07-15 01:26:28.000",-99.77761,29.70374,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",424778.366057777,3286211.02718069,"14N"
1730561,"true","2009-07-15 01:29:08.000",-99.77189,29.71304,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",425338.584750389,3287237.83713607,"14N"
1730562,"true","2009-07-15 01:34:03.000",-99.7747,29.72157,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",425073.113474332,3288184.85240625,"14N"
1730563,"true","2009-07-15 01:37:53.000",-99.76582,29.74715,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",425950.781180411,3291013.61420041,"14N"
1730564,"true","2009-07-15 01:43:55.000",-99.76007,29.76853,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",426522.380707318,3293379.03724084,"14N"
1730565,"true","2009-07-15 01:48:09.000",-99.75952,29.76539,NA,"radio-transmitter","Tadarida brasiliensis",578,"Bat 6","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",426573.261951237,3293030.74638236,"14N"
