"event.id","visible","timestamp","location.long","location.lat","manually.marked.outlier","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone"
1730589,"true","2009-07-13 00:34:17.000",-99.68456,29.43478,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433604.015955012,3256352.00758159,"14N"
1730590,"true","2009-07-13 00:36:17.000",-99.67164,29.42704,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434852.226447628,3255487.10710186,"14N"
1730591,"true","2009-07-13 00:38:34.000",-99.67723,29.42452,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434308.372679263,3255211.02080474,"14N"
1730592,"true","2009-07-13 00:40:26.000",-99.68405,29.42533,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433647.339628743,3255304.6319943,"14N"
1730593,"true","2009-07-13 00:42:35.000",-99.67968,29.42675,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434072.155850076,3255459.49307803,"14N"
1730594,"true","2009-07-13 00:45:49.000",-99.68595,29.42273,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433461.341104368,3255017.62783018,"14N"
1730595,"true","2009-07-13 00:48:41.000",-99.68295,29.42129,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433751.420591557,3254856.36432084,"14N"
1730596,"true","2009-07-13 00:50:14.000",-99.68611,29.41884,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433443.284844362,3254586.69723383,"14N"
1730597,"true","2009-07-13 00:52:14.000",-99.69313,29.4097,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432756.268981442,3253577.98847026,"14N"
1730598,"true","2009-07-13 00:58:02.000",-99.67496,29.42856,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434531.16001506,3255657.38636037,"14N"
1730599,"true","2009-07-13 01:00:16.000",-99.71055,29.39362,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",431055.381997723,3251806.45004063,"14N"
1730600,"true","2009-07-13 01:03:26.000",-99.71801,29.38962,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",430328.793039588,3251367.66950638,"14N"
1730601,"true","2009-07-13 01:05:45.000",-99.72496,29.38099,NA,"radio-transmitter","Tadarida brasiliensis",848,"Bat 4","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",429648.452643802,3250415.6121846,"14N"
