"event.id","visible","timestamp","location.long","location.lat","manually.marked.outlier","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone"
1730739,"true","2009-07-14 00:18:00.000",-99.68456,29.43478,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433604.015955012,3256352.00758159,"14N"
1730740,"true","2009-07-14 00:20:20.000",-99.69152,29.43156,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",432926.827207972,3255999.20659302,"14N"
1730741,"true","2009-07-14 00:23:25.000",-99.67905,29.42935,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434134.943938147,3255747.22376145,"14N"
1730742,"true","2009-07-14 00:25:39.000",-99.68186,29.42895,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433862.119635511,3255704.49330122,"14N"
1730743,"true","2009-07-14 00:28:09.000",-99.68588,29.42595,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433470.229767741,3255374.37226261,"14N"
1730744,"true","2009-07-14 00:30:11.000",-99.68637,29.42345,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433421.068676138,3255097.64539048,"14N"
1730745,"true","2009-07-14 00:32:02.000",-99.68279,29.42577,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433769.84774582,3255352.66886375,"14N"
1730746,"true","2009-07-14 00:34:05.000",-99.68371,29.42236,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433678.391078851,3254975.3549693,"14N"
1730747,"true","2009-07-14 00:36:00.000",-99.68497,29.4259,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433558.468636826,3255368.3133037,"14N"
1730748,"true","2009-07-14 00:38:44.000",-99.6813,29.42483,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",433913.771770924,3255247.66914099,"14N"
1730749,"true","2009-07-14 00:40:59.000",-99.67683,29.42209,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",434345.611225473,3254941.54553866,"14N"
1730750,"true","2009-07-14 00:43:29.000",-99.66565,29.42573,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",435432.429936776,3255338.6243682,"14N"
1730751,"true","2009-07-14 00:45:18.000",-99.66523,29.42154,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",435470.522417147,3254874.13008092,"14N"
1730752,"true","2009-07-14 00:49:25.000",-99.65963,29.42093,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",436013.370968494,3254803.45534581,"14N"
1730753,"true","2009-07-14 00:52:16.000",-99.65825,29.43036,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",436153.137099831,3255847.56466713,"14N"
1730754,"true","2009-07-14 00:55:45.000",-99.65624,29.42155,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",436342.607957746,3254870.29765733,"14N"
1730755,"true","2009-07-14 00:58:19.000",-99.65058,29.41944,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",436890.354461264,3254633.42922286,"14N"
1730756,"true","2009-07-14 01:01:31.000",-99.63968,29.41633,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",437945.8445367,3254282.98681461,"14N"
1730757,"true","2009-07-14 01:06:16.000",-99.63613,29.4094,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",438286.043885157,3253513.24684796,"14N"
1730758,"true","2009-07-14 01:08:46.000",-99.63646,29.40727,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",438252.740986294,3253277.41369442,"14N"
1730759,"true","2009-07-14 01:11:36.000",-99.63469,29.39802,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",438418.890115565,3252251.56307953,"14N"
1730760,"true","2009-07-14 01:13:28.000",-99.63387,29.39703,NA,"radio-transmitter","Tadarida brasiliensis",577,"Bat 5","Flight speed in Brazilian free-tailed bats (data from McCracken et al. 2016)",438497.856998342,3252141.43717128,"14N"
